"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C7","2","180u","","","","EMZR160ARA221MF61G:CAPAE660X610N",""
"C2,C4,C8,C10","4","0.1u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C3,C5,C9,C11,C16,C17","6","1u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C6,C12","2","47n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C13","1","10u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C14","1","100n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C15","1","47u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C18,C20","2","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C19","1","200nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C21","1","4.7u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D1","1","PTVS13VP1UTP-QX","","","","PTVS13VP1UTP-QX:SODFL4725X110N","https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP-Q_SER.pdf"
"D2","1","V15PM6HM3_H","","","","V15PM6HM3_H:V15PM6HM3H","https://www.vishay.com/docs/87434/v15pm6.pdf"
"F1","1","SF-1206SA1500R-2","","","","SF-1206SA1500R-2:SF1206SA1500R2","http://www.bourns.com/docs/Product-Datasheets/SF-1206SA-R.pdf"
"H1,H2,H3,H4","4","MountingHole_Pad","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~"
"IC1","1","MAX8891EXK33_V+T","","","","MAX8891EXK33_V+T:SOT65P210X110-5N","https://datasheets.maximintegrated.com/en/ds/MAX8891-MAX8892.pdf"
"J1","1","Conn_01x08_Pin_drv","","","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~"
"J2","1","Conn_01x02_Pin_drv","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~"
"J4","1","Motor1_Terminal","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal","~"
"J5","1","Motor2_Terminal","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal","~"
"J6","1","Battery_Terminal_01x02","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal","~"
"L1","1","MLP2520S4R7MT0S1","","","","INDC2520X100N","https://product.tdk.com/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_power_mlp2520_en.pdf"
"R1,R3,R4,R6","4","820","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R2,R5,R8,R10","4","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R7","1","56,2k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R9","1","65k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R11","1","18k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R12","1","20k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R13","1","2k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R14","1","2.7k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"TP1","1","Bat_div","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"TP2","1","OP1_Out","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"TP3","1","OP2_Out","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"U1,U2","2","DRV8873HPWPRQ1","","","","DRV8873HPWPRQ1:SOP65P640X120-25N",""
"U3","1","TPS561208DDCR","","","","TPS561208DDCR:SOT95P280X110-6N","http://www.ti.com/lit/gpn/tps561208"
"U4","1","LM358","","","","LM358AN_NOPB:DIP794W53P254L959H508Q8N","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf"
